GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0006790,sulfur compound metabolic process,659,76,44.21,1.1e-06,0.0049423
GO:0019757,glycosinolate metabolic process,232,34,15.56,4.7e-06,0.0101841333333333
GO:0010438,cellular response to sulfur starvation,16,8,1.07,6.8e-06,0.0101841333333333
GO:1901135,carbohydrate derivative metabolic proces...,1216,117,81.57,1.3e-05,0.01460225
