GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0009536,plastid,3612,530,373.97,9.6e-22,7.4304e-19
GO:0009579,thylakoid,747,149,77.34,1.4e-15,5.418e-13
GO:0034357,photosynthetic membrane,559,113,57.88,6.4e-12,1.6512e-09
GO:0009532,plastid stroma,1126,188,116.58,1.3e-11,2.5155e-09
GO:0005576,extracellular region,1759,258,182.12,1.9e-09,2.9412e-07
GO:0031976,plastid thylakoid,639,131,66.16,6.3e-08,8.127e-06
GO:0009521,photosystem,116,33,12.01,6.7e-06,0.000740828571428571
GO:0009534,chloroplast thylakoid,637,131,65.95,1.1e-05,0.00106425
GO:0031984,organelle subcompartment,1259,174,130.35,3.4e-05,0.002924
GO:0005840,ribosome,779,88,80.65,6.7e-05,0.0051858
GO:0005737,cytoplasm,14292,1554,1479.73,0.00033,0.021285
GO:0009526,plastid envelope,1036,170,107.26,0.00033,0.021285
GO:0030312,external encapsulating structure,1127,151,116.68,0.00046,0.0273876923076923
GO:0042406,extrinsic component of endoplasmic retic...,8,5,0.83,0.00054,0.0298542857142857
