Bo00285s010	0
Bo00285s020	0
Bo00285s030	0
Bo00285s040	6
Bo00285s050	0
Bo00285s060	0
Bo00285s070	3
Bo00285s080	0
Bo00285s090	0
Bo00285s100	2
Bo00285s110	3
Bo00285s120	181
Bo00285s130	0
Bo00285s140	0
Bo00285s150	0
Bo00285s160	150
Bo00285s170	0
Bo00285s180	0
Bo00285s190	0
Bo00285s200	0
Bo00285s210	0
Bo00285s220	0
Bo00285s230	0
Bo00285s240	112
Bo00285s250	0
Bo00285s260	0
Bo00285s270	1
Bo00285s280	0
Bo00285s290	0
Bo00285s300	0
Bo00285s310	7
Bo00285s320	0
Bo00285s330	0
Bo00285s340	4636
Bo00285s350	0
Bo00285s360	16
Bo00285s370	5426
Bo00285s380	8
Bo00285s390	69
Bo00285s400	0
Bo00285s410	248
Bo00285s420	88
Bo00285s430	193
Bo00285s440	57
Bo00285s450	0
Bo00285s460	0
Bo00285s470	0
Bo00285s480	0
Bo00285s490	0
Bo00285s500	0
Bo00285s510	212
Bo00285s520	0
Bo00285s530	0
Bo00285s540	6
Bo00285s550	62
Bo00285s560	0
Bo00285s570	24
Bo00285s580	0
Bo00285s590	0
Bo00285s600	0
Bo00285s610	0
Bo00285s620	11
Bo00285s630	21
Bo00285s640	74
Bo00285s650	84
Bo00285s660	0
Bo00285s670	0
Bo00418s010	20
Bo00418s020	3
Bo00418s030	17
Bo00418s040	0
Bo00418s050	0
Bo00418s060	1
Bo00418s070	0
Bo00418s080	0
Bo00418s090	0
Bo00418s100	0
Bo00418s110	0
Bo00418s120	0
Bo00418s130	4
Bo00418s140	0
Bo00418s150	0
Bo00418s160	0
Bo00418s170	0
Bo00418s180	0
Bo00418s190	0
Bo00418s200	0
Bo00434s010	0
Bo00434s020	0
Bo00434s030	0
Bo00434s040	0
Bo00434s050	0
Bo00434s060	0
Bo00434s070	0
Bo00434s080	0
Bo00434s090	0
Bo00434s100	0
Bo00434s110	1
Bo00434s120	0
Bo00434s130	142
Bo00434s140	0
Bo00452s010	1
Bo00452s020	0
Bo00452s030	1
Bo00452s040	0
Bo00452s050	0
Bo00452s060	0
Bo00452s070	17
Bo00452s080	0
Bo00452s090	0
Bo00452s100	0
Bo00452s110	0
Bo00452s120	0
Bo00452s130	4
Bo00452s140	0
Bo00452s150	24
Bo00452s160	3
Bo00452s170	2
Bo00452s180	0
Bo00452s190	0
Bo00452s200	0
Bo00534s010	2
Bo00534s020	0
Bo00534s030	0
Bo00534s040	2
Bo00534s050	0
Bo00534s060	24
Bo00534s070	65
Bo00534s080	0
Bo00534s090	62
Bo00534s100	10
Bo00534s110	0
Bo00534s120	0
Bo00534s130	0
Bo00534s140	6
Bo00534s150	36
Bo00534s160	20
Bo00534s170	46
Bo00534s180	209
Bo00534s190	0
Bo00534s200	7
Bo00534s210	89
Bo00534s220	0
Bo00534s230	0
Bo00576s010	0
Bo00576s020	0
Bo00576s030	0
Bo00576s040	5
Bo00576s050	0
Bo00576s060	25
Bo00576s070	1
Bo00576s080	1
Bo00576s090	0
Bo00576s100	27
Bo00576s110	91
Bo00576s120	19
Bo00576s130	0
Bo00576s140	0
Bo00576s150	0
Bo00576s160	0
Bo00576s170	0
Bo00576s180	175
Bo00576s190	0
Bo00578s010	0
Bo00578s020	16
Bo00578s030	11
Bo00578s040	160
Bo00578s050	0
Bo00578s060	5
Bo00578s070	0
Bo00578s080	0
Bo00578s090	0
Bo00578s100	159
