sampleName,fileName,condition
Cabbage_1,raw_counts/Cabbage_1_counts.tsv,Cabbage
Cabbage_2,raw_counts/Cabbage_2_counts.tsv,Cabbage
Kale_1,raw_counts/Kale_1_counts.tsv,Kale
Kale_2,raw_counts/Kale_2_counts.tsv,Kale
Kale_3,raw_counts/Kale_3_counts.tsv,Kale
TO1000_1,raw_counts/TO1000_1_counts.tsv,TO1000
TO1000_2,raw_counts/TO1000_2_counts.tsv,TO1000
TO1000_3,raw_counts/TO1000_3_counts.tsv,TO1000
