Boleracea_gene,NCBI_gene
Bo5g014700,106292465
Bo1g139440,106292467
Bo5g013590,106292468
Bo5g007660,106292472
Bo5g007690,106292473
Bo5g007680,106292474
Bo5g007770,106292475
Bo5g007730,106292476
Bo5g007750,106292477
Bo5g007700,106292478
Bo5g007670,106292479
Bo1g046420,106292480
Bo5g007720,106292481
Bo5g007710,106292483
Bo5g007740,106292484
Bo5g007760,106292485
Bo5g003390,106292486
Bo5g152740,106292487
Bo5g005250,106292488
Bo1g027130,106292489
Bo5g137780,106292490
Bo5g137800,106292491
Bo5g137760,106292492
Bo5g137790,106292493
Bo5g137730,106292494
Bo5g137850,106292495
Bo5g137830,106292496
Bo5g137740,106292498
Bo5g137770,106292499
Bo5g137820,106292500
Bo5g137860,106292501
Bo5g137750,106292502
Bo5g137810,106292503
Bo5g137840,106292504
Bo1g007510,106292506
Bo5g153990,106292510
Bo5g125020,106292512
Bo5g007490,106292515
Bo5g007510,106292516
Bo5g007480,106292517
Bo5g007520,106292518
Bo5g007530,106292519
Bo5g007500,106292520
Bo5g132650,106292521
Bo1g024170,106292522
Bo5g132750,106292523
Bo5g051780,106292524
Bo5g027160,106292526
Bo5g098120,106292527
Bo5g141580,106292528
Bo5g003450,106292529
Bo5g039080,106292530
Bo1g108930,106292531
Bo5g021540,106292532
Bo5g005050,106292533
Bo5g003370,106292534
Bo5g053450,106292535
Bo5g098130,106292536
Bo5g121410,106292537
Bo5g016380,106292538
Bo1g037570,106292539
Bo5g150340,106292540
Bo5g148630,106292541
Bo5g043090,106292542
Bo5g025550,106292543
Bo5g136670,106292544
Bo5g093290,106292545
Bo5g050600,106292546
Bo5g136210,106292547
Bo1g037520,106292549
Bo5g035030,106292550
Bo5g150030,106292552
Bo5g150020,106292553
Bo5g150010,106292554
Bo5g132770,106292555
Bo5g146950,106292556
Bo5g053490,106292557
Bo1g155130,106292559
Bo5g025210,106292560
Bo5g019420,106292561
Bo5g156400,106292562
Bo5g156300,106292563
Bo5g141490,106292564
Bo5g098650,106292565
