gene	cabbage1	cabbage2	kale1	kale2	kale3	TO10001	TO10002	TO10003
Bo00285s010	Bo00285s010	0	0	2	2	0	1	8	10
Bo00285s020	Bo00285s020	0	2	2	0	0	2	2	3
Bo00285s040	Bo00285s040	6	8	98	94	114	17	91	123
Bo00285s070	Bo00285s070	3	3	101	59	132	13	8	6
Bo00285s080	Bo00285s080	0	0	0	0	1	0	5	0
Bo00285s100	Bo00285s100	2	1	612	455	574	13	21	24
Bo00285s110	Bo00285s110	3	1	12	2	1	6	44	48
Bo00285s120	Bo00285s120	181	335	1491	593	2146	1184	2836	2296
Bo00285s130	Bo00285s130	0	0	0	0	0	1	1	5
Bo00285s140	Bo00285s140	0	0	5	7	3	1	21	36
Bo00285s150	Bo00285s150	0	0	0	0	2	0	0	0
Bo00285s160	Bo00285s160	150	526	1260	945	689	72	69	66
Bo00285s170	Bo00285s170	0	0	0	2	3	3	4	7
Bo00285s190	Bo00285s190	0	0	0	0	1	2	11	9
Bo00285s200	Bo00285s200	0	0	0	0	0	1	4	1
Bo00285s210	Bo00285s210	0	0	0	0	1	1	2	1
Bo00285s220	Bo00285s220	0	0	2	2	2	16	9	10
Bo00285s230	Bo00285s230	0	3	3	4	0	23	26	23
Bo00285s240	Bo00285s240	112	174	216	225	134	413	587	459
Bo00285s250	Bo00285s250	0	0	7	2	3	43	28	27
Bo00285s260	Bo00285s260	0	0	0	0	0	1	2	0
Bo00285s290	Bo00285s290	0	0	0	0	0	1	1	0
Bo00285s300	Bo00285s300	0	0	0	0	1	0	7	2
Bo00285s310	Bo00285s310	7	13	8	5	2	3	8	12
Bo00285s330	Bo00285s330	0	0	8	7	7	3	0	0
Bo00285s340	Bo00285s340	4636	9428	7292	7029	3374	5223	8985	8311
Bo00285s350	Bo00285s350	0	0	0	0	0	2	3	2
Bo00285s360	Bo00285s360	16	32	20	15	13	31	34	31
Bo00285s370	Bo00285s370	5426	11795	8741	6700	4988	7185	8031	7642
Bo00285s380	Bo00285s380	8	21	36	32	25	44	42	34
Bo00285s390	Bo00285s390	69	149	197	86	64	152	131	94
Bo00285s400	Bo00285s400	0	13	33	39	25	48	14	14
Bo00285s410	Bo00285s410	248	438	573	339	259	597	623	529
Bo00285s420	Bo00285s420	88	326	391	307	227	462	407	423
Bo00285s430	Bo00285s430	193	672	767	438	473	173	247	176
Bo00285s440	Bo00285s440	57	91	69	36	30	170	212	239
