GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0043169,cation binding,5529,395,371.79,4.7e-07,0.00083613
GO:0016491,oxidoreductase activity,2141,180,143.97,1.2e-05,0.010674
GO:0016782,transferase activity, transferring sulfu...,72,14,4.84,4.4e-05,0.026092
