GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0044435,plastid part,2027,122,71.74,3.5e-09,2.842e-06
GO:0009536,plastid,3612,183,127.84,1.7e-08,6.902e-06
GO:0005576,extracellular region,1759,97,62.26,8.5e-06,0.00230066666666667
GO:0009579,thylakoid,747,46,26.44,0.00014,0.02842
GO:0005853,eukaryotic translation elongation factor...,9,4,0.32,0.00018,0.029232
