GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0044428,nuclear part,2403,280,220.31,6.2e-05,0.04872
GO:0045263,proton-transporting ATP synthase complex...,14,7,1.28,0.00012,0.04872
