GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0009536,plastid,3612,530,373.92,2.4e-21,1.9488e-18
GO:0044435,plastid part,2027,334,209.84,5.9e-19,2.3954e-16
GO:0009579,thylakoid,747,149,77.33,4.1e-16,1.10973333333333e-13
GO:0044436,thylakoid part,586,118,60.66,2.8e-13,5.684e-11
GO:0034357,photosynthetic membrane,559,113,57.87,3.9e-12,6.3336e-10
GO:0044444,cytoplasmic part,12336,1387,1277.06,1.8e-10,2.436e-08
GO:0005576,extracellular region,1759,258,182.1,2.5e-09,2.9e-07
GO:0031976,plastid thylakoid,639,131,66.15,3.7e-09,3.7555e-07
GO:0005737,cytoplasm,14671,1595,1518.78,4.6e-08,4.15022222222222e-06
GO:0009521,photosystem,116,33,12.01,8.3e-06,0.00067396
GO:0031984,organelle subcompartment,2633,325,272.58,2.0e-05,0.00147636363636364
GO:0005774,vacuolar membrane,1096,128,113.46,0.00011,0.00744333333333333
GO:0009526,plastid envelope,1036,170,107.25,0.00020,0.0124923076923077
GO:0030312,external encapsulating structure,1127,151,116.67,0.00028,0.01624
GO:0009534,chloroplast thylakoid,637,131,65.94,0.00041,0.0221946666666667
GO:0042406,extrinsic component of endoplasmic retic...,8,5,0.83,0.00050,0.025375
GO:0009535,chloroplast thylakoid membrane,541,113,56.01,0.00070,0.0334352941176471
GO:0055035,plastid thylakoid membrane,543,113,56.21,0.00100,0.0451111111111111
