ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
boe03040,Spliceosome,47/511,290/7797,4.41869045749739e-09,4.72799878952221e-07,4.6047405820236e-07,106320548/106308303/106323083/106316479/106302833/106317743/106318090/106319571/106325451/106322828/106326675/106329617/106331859/106329134/106333167/106332510/106334780/106327980/106329101/106328152/106334802/106331530/106341975/106342106/106294449/106292856/106294489/106296588/106296491/106300617/106296449/106303709/106301705/106323438/106305735/106304350/106304333/106307164/106311954/106318050/106318270/106313419/106318044/106313042/106315542/106318722/106318585,47
boe04712,Circadian rhythm - plant,12/511,65/7797,0.000908204476492036,0.0485889394923239,0.0473222332487956,106296470/106327839/106324717/106335903/106336081/106328481/106332589/106295895/106313587/106315762/106315832/106313519,12
