Supplementary Table 2: Kale vs TO1000 DEGs,,,,,,,,,,
Gene,Kale_1,Kale_2,Kale_3,TO1000_1,TO1000_2,TO1000_3,Kale_Mean,TO1000_Mean,KvT_log2FC,KvT_padj
Bo1g005970,1.49548358,0.965062811,0,11.30640932,12.71718719,8.087817365,10.70380462,0.82018213,-3.542646206,0.01026427
Bo1g005980,72.53095365,69.48452239,60.09067516,329.6253179,227.4132297,271.7506635,276.2630704,67.36871707,-2.027558599,5.74E-15
Bo1g006000,99.4496581,64.65920834,113.7887253,357.4564793,347.8524731,415.7138125,373.674255,92.63253058,-2.018184074,4.03E-16
Bo1g006040,20.18902834,17.3711306,30.68460008,128.7191215,146.6216876,190.0637081,155.1348391,22.74825301,-2.797393017,3.65E-15
Bo1g006170,2.243225371,1.930125622,3.83557501,18.26419967,17.95367603,21.02832515,19.08206695,2.669642001,-2.885776122,0.001935242
Bo1g006230,10.46838506,14.47594217,24.29197507,4.34861897,4.488419008,3.235126946,4.024054974,16.41210076,2.000300115,0.015508388
Bo1g006240,62.06256859,37.63744963,77.99002521,0.869723794,2.992279339,1.617563473,1.826522202,59.23001448,4.981882838,5.24E-11
Bo1g006300,18.69354476,10.61569092,8.949675024,0.869723794,1.496139669,0.808781736,1.058215067,12.75297023,3.596027705,0.001919738
Bo1g006490,72.53095365,87.8207158,76.71150021,40.00729452,42.63998057,34.77761467,39.14162992,79.02105655,1.011623365,0.003785979
Bo1g006580,14.20709401,6.755439677,5.114100014,0,0.748069835,0.808781736,0.518950524,8.692211235,4.062268881,0.005773119
Bo1g006610,60.56708501,56.93870585,61.36920017,114.8035408,136.1487099,142.3455856,131.0992788,59.62499701,-1.138171011,0.000194357
Bo1g006720,26.91870445,27.98682152,21.73492506,7.827514145,3.740349173,7.279035628,6.282299649,25.54681701,2.038215424,0.006227762
Bo1g006740,45.6122492,51.14832898,65.20477518,19.13392347,11.96911735,7.279035628,12.79402548,53.98845112,2.077735637,0.000143515
Bo1g006830,189.1786729,111.9472861,205.8425256,31.31005658,52.36488842,41.24786856,41.64093786,168.9894949,2.014417548,3.95E-09
Bo1g006860,0,0,0,2.609171382,4.488419008,6.470253892,4.52261476,0,-4.660276388,0.049561181
Bo1g006880,60.56708501,96.5062811,80.54707522,23.48254244,20.94595537,25.07223383,23.16691055,79.20681378,1.770285873,7.05E-06
Bo1g006970,52.34192532,27.02175871,40.91280011,9.566961733,4.488419008,7.279035628,7.111472123,40.09216138,2.513542435,1.23E-05
Bo1g007010,4.486450741,9.65062811,15.34230004,0,0.748069835,0,0.249356612,9.826459631,5.067181259,0.006851791
Bo1g007020,14.9548358,16.40606779,24.29197507,0,0,0.808781736,0.269593912,18.55095955,5.994055242,0.00017907
Bo1g007280,16.45031938,27.98682152,17.89935005,4.34861897,4.488419008,6.470253892,5.102430623,20.77883032,2.024540868,0.00361072
Bo1g007370,106.927076,120.6328514,85.66117523,285.2694044,246.1149756,230.5027949,253.9623916,104.4070342,-1.274015675,2.97E-08
Bo1g007410,138.3322312,138.003982,159.8156254,420.9463163,421.1633169,549.9715808,464.0270713,145.3839462,-1.67785421,4.10E-12
Bo1g007540,41.12579846,41.49770087,39.63427511,81.75403663,83.78382148,118.0821335,94.53999721,40.75259148,-1.212804673,0.002970049
Bo1g007590,81.50385513,74.30983645,33.24165009,206.1245392,174.3002715,175.5056368,185.3101491,63.01844722,-1.530510687,9.59E-07
Bo1g007650,521.9237696,462.2650865,533.1449264,44.35591349,26.93051405,38.82152335,36.7026503,505.7779275,3.792402954,3.51E-60
Bo1g007700,447.8973323,284.6935293,357.987001,156.5502829,168.3157128,163.3739108,162.7466355,363.5259542,1.161568891,3.98E-07
Bo1g007840,158.5212595,107.121972,94.61085026,15.65502829,30.67086322,29.11614251,25.14734467,120.0846939,2.256680852,1.13E-11
Bo1g007850,8.225159692,8.685565299,15.34230004,0,0,0.808781736,0.269593912,10.75100834,5.202216587,0.003099788
Bo1g007940,43.36902383,29.91694714,95.88937526,14.7853045,6.732628512,12.94050778,11.48614693,56.39178208,2.289391825,6.75E-05
Bo1g007950,206.3767341,140.8991704,216.0707256,73.92652249,74.05891363,68.7464476,72.24396124,187.78221,1.376465718,1.26E-07
Bo1g008070,32.15289698,77.20502488,67.76182518,23.48254244,18.70174587,13.74928952,18.64452594,59.03991568,1.655260393,0.000942755
Bo1g008180,61.3148268,62.72908272,52.41952514,4.34861897,9.72490785,14.55807126,9.543866025,58.82114489,2.617435752,1.03E-07
Bo1g008210,45.6122492,48.25314055,97.16790026,160.8989019,118.9431037,137.4928952,139.1116336,63.67776334,-1.15040182,0.00135668
Bo1g008260,7.477417902,1.930125622,6.392625017,74.79624628,37.40349173,36.39517814,49.53163872,5.266722847,-3.218664591,2.11E-06
Bo1g008360,149.548358,94.57615548,196.8928505,38.26784693,32.16700289,44.48299551,38.30594844,147.005788,1.936737719,3.06E-08
Bo1g008490,120.3864282,104.2267836,88.21822524,33.91922796,63.58593594,54.18837634,50.56451342,104.2771457,1.045494332,0.002216013
Bo1g008530,82.25159692,96.5062811,72.8759252,22.61281864,38.8996314,33.1600512,31.55750041,83.87793441,1.407463608,0.000182067
Bo1g008570,1.49548358,0,1.278525003,179.1631016,291.7472355,207.0481245,225.9861539,0.924669528,-7.897142157,1.03E-17
Bo1g008580,11.21612685,14.47594217,10.22820003,0,2.244209504,1.617563473,1.287257659,11.97342302,3.179549511,0.006163644
Bo1g008620,296.1057489,253.8115193,320.9097759,67.83845593,88.27224049,80.87817365,78.99629002,290.2756814,1.873517188,7.06E-16
Bo1g008670,72.53095365,65.62427115,70.31887519,585.3241133,693.4607367,603.3511754,627.3786751,69.49136666,-3.173220852,7.80E-63
Bo1g008710,0.74774179,0,1.278525003,268.7446523,278.2819785,255.5750287,267.5338865,0.675422265,-8.720280806,7.22E-15
Bo1g008760,17.94580297,11.58075373,14.06377504,230.4768054,320.1738892,304.1019329,284.9175425,14.53011058,-4.273315035,1.04E-37
Bo1g008770,96.45869094,132.2136051,118.9028253,394.8546024,436.8727834,418.1401578,416.6225145,115.8583738,-1.854118742,1.76E-22
Bo1g008790,2.990967161,0,0,223.519015,322.4180987,292.7789886,279.5720341,0.996989054,-7.797090083,6.12E-23
Bo1g008800,1.49548358,0,0,131.3282929,106.9739864,123.7436057,120.6819616,0.498494527,-7.578844743,2.66E-11
Bo1g008820,1.49548358,0,0,26.96143761,35.15928223,30.73370599,30.95147528,0.498494527,-5.631381922,6.06E-06
Bo1g009820,14.20709401,2.895188433,0,1273.275634,1450.507409,1450.145653,1391.309566,5.700760816,-7.846088592,7.69E-19
Bo1g009840,0,0,0,6.957790352,3.740349173,10.51416257,7.070767366,0,-5.299031191,0.001304344
Bo1g009900,44.11676562,43.4278265,30.68460008,93.93016975,62.08979627,95.4362449,83.81873697,39.40973073,-1.071581998,0.003321126
Bo1g009980,0,0.965062811,0,20.87337105,10.47297768,12.13172605,14.4926916,0.321687604,-5.36941278,0.000291446
Bo1g010000,50.84644173,75.27489926,54.97657515,29.57060899,29.92279339,23.45467036,27.64935758,60.36597205,1.125317237,0.007200133
Bo1g010010,29.16192982,18.33619341,20.45640006,6.088066558,2.244209504,4.043908682,4.125394915,22.65150776,2.482143592,0.001719911
Bo1g010050,39.63031488,64.65920834,118.9028253,256.5685192,242.3746264,242.6345209,247.1925555,74.39744951,-1.758803288,1.87E-07
Bo1g010240,185.439964,106.1569092,155.9800504,73.05679869,71.81470412,76.02548323,73.63232868,149.1923079,1.021738571,0.000856499
Bo1g010560,2.243225371,0,3.83557501,8.697237939,14.96139669,12.94050778,12.19971414,2.026266794,-2.654495522,0.025233532
Bo1g010660,76.2696626,84.92552737,77.99002521,23.48254244,29.17472355,29.11614251,27.25780283,79.72840506,1.545155034,8.59E-06
Bo1g010770,518.9328024,445.8590187,414.2421011,135.6769119,156.3465954,168.2266012,153.4167028,459.6779741,1.584835697,1.87E-15
Bo1g010800,402.2850831,562.6316188,479.4468763,907.9916409,1214.865411,930.9077787,1017.92161,481.4545261,-1.081826749,3.15E-07
Bo1g010880,4.486450741,1.930125622,2.557050007,0,0,0,0,2.99120879,4.360410617,0.024622708
Bo1g011050,0,0,0,59.14121799,76.30312313,71.17279281,68.87237798,0,-8.588168744,2.45E-10
Bo1g011090,23.92773729,22.19644465,29.40607508,1.739447588,0,0,0.579815863,25.17675234,5.529642038,5.52E-05
Bo1g011100,0,0.965062811,1.278525003,8.697237939,12.71718719,14.55807126,11.99083213,0.747862605,-4.180128625,0.00890886
Bo1g011140,2.243225371,0,1.278525003,44.35591349,23.19016487,20.21954341,29.25520726,1.173916791,-4.555349553,1.90E-05
Bo1g011280,177.9625461,208.4535672,176.4364505,50.44398005,41.1438409,46.90934072,46.16572056,187.6175212,2.026264597,2.27E-16
Bo1g011310,20.93677013,32.81213557,29.40607508,0,2.244209504,2.426345209,1.556851571,27.71832693,4.115272289,1.87E-05
Bo1g011640,0,0,0,1.739447588,5.236488842,6.470253892,4.482063441,0,-4.649270399,0.03973996
Bo1g011910,74.02643723,73.34477364,95.88937526,35.65867555,35.90735206,46.90934072,39.49178944,81.08686204,1.031679908,0.009313318
Bo1g011940,32.15289698,26.0566959,16.62082504,39.13757073,59.84558677,66.32010239,55.10108663,24.94347264,-1.117418365,0.013176553
Bo1g011970,145.0619073,111.9472861,154.7015254,41.74674211,77.7992628,47.71812245,55.75470912,137.2369063,1.291851621,3.80E-05
Bo1g012080,2.990967161,0.965062811,20.45640006,15.65502829,35.15928223,46.10055898,32.3049565,8.137476676,-2.071418742,0.03079925
Bo1g013140,48.60321636,41.49770087,81.82560022,163.5080733,123.4315227,151.2421847,146.0605936,57.30883915,-1.369904131,2.75E-05
Bo1g013190,97.95417452,75.27489926,69.04035019,39.13757073,32.16700289,39.63030509,36.9782929,80.75647465,1.137451634,0.001986834
Bo1g014340,14.20709401,24.12657028,28.12755008,13.04585691,0.748069835,0.808781736,4.867569493,22.15373812,2.205831402,0.036234499
Bo1g014350,25.42322087,19.30125622,30.68460008,78.27514145,83.03575164,97.86259011,86.39116107,25.13635906,-1.793660138,1.20E-06
Bo1g014400,202.6380251,164.0606779,170.0438255,13.9155807,12.71718719,21.83710688,16.15662493,178.9141762,3.472124515,5.55E-20
Bo1g014450,64.30579396,58.86883147,47.30542513,12.17613312,13.46525702,26.6897973,17.44372915,56.82668352,1.710451868,0.000103755
Bo1g014580,380.6005712,453.5795212,290.2251758,0.869723794,2.992279339,0.808781736,1.55692829,374.8017561,7.867347987,1.55E-32
Bo1g014750,150.2960998,145.7244845,117.6243003,320.92808,302.968283,269.3243182,297.7402271,137.8816282,-1.102699496,2.72E-07
Bo1g014760,148.0528745,119.6677886,92.05380025,235.6951482,275.2896991,245.0608662,252.0152378,119.9248211,-1.05789001,9.47E-06
Bo1g014770,17.19806118,11.58075373,15.34230004,44.35591349,40.39577107,49.33568592,44.69579016,14.70703832,-1.597854971,0.003598305
Bo1g014940,70.28772828,106.1569092,102.2820003,21.74309485,18.70174587,18.60197994,19.68227355,92.90887926,2.236896693,9.39E-06
Bo1g014990,34.39612235,23.16150746,24.29197507,66.09900834,50.86874875,54.99715808,57.32163839,27.28320163,-1.056039798,0.03039299
Bo1g016210,302.0876832,295.3092202,283.8325508,103.4971315,121.1873132,115.6557883,113.4467443,293.7431514,1.372226189,1.68E-11
Bo1g016230,49.35095815,37.63744963,48.58395013,7.827514145,14.96139669,10.51416257,11.10102447,45.19078597,2.01252614,3.42E-06
Bo1g016240,5.234192532,4.825314055,3.83557501,0,0,0,0,4.631693866,4.972074819,0.01045499
Bo1g016280,4.486450741,6.755439677,5.114100014,0,0,0.808781736,0.269593912,5.451996811,4.234598155,0.044221581
Bo1g016550,59.07160143,142.829296,89.49675024,38.26784693,26.18244421,35.5863964,33.34556252,97.13254923,1.542062004,0.000477591
