Supplementary Table 4: Cabbage vs TO1000 DEGs,,,,,,,,,
Gene,Cabbage_1,Cabbage_2,TO1000_1,TO1000_2,TO1000_3,Cabbage_Mean,TO1000_Mean,CvT_log2FC,CvT_padj
Bo1g006300,9.843686663,33.21985071,0.869723794,1.496139669,0.808781736,21.53176869,12.75297023,4.386065582,0.000235164
Bo1g006450,19.68737333,26.03718028,53.05315143,52.36488842,42.0566503,22.86227681,77.51685542,-1.066554312,0.043457638
Bo1g006490,70.87454397,92.4768817,40.00729452,42.63998057,34.77761467,81.67571284,79.02105655,1.080317842,0.00694917
Bo1g006580,25.59358532,28.73068169,0,0.748069835,0.808781736,27.16213351,8.692211235,5.672201727,7.11E-05
Bo1g006610,57.09338264,37.70901972,114.8035408,136.1487099,142.3455856,47.40120118,59.62499701,-1.518668309,3.18E-05
Bo1g006630,45.28095865,23.34367888,61.75038937,74.05891363,91.39233622,34.31231876,49.01015179,-1.207918331,0.022907262
Bo1g006790,3.937474665,2.693501409,22.61281864,14.96139669,11.32294431,3.315488037,9.32760266,-2.364386885,0.042978141
Bo1g006830,11.812424,17.95667606,31.31005658,52.36488842,41.24786856,14.88455003,168.9894949,-1.421767888,0.009338895
Bo1g006840,210.6548946,241.517293,118.282436,100.9894277,61.46741197,226.0860938,123.6091111,1.278691031,0.000122474
Bo1g006970,23.62484799,28.73068169,9.566961733,4.488419008,7.279035628,26.17776484,40.09216138,1.909876341,0.006344364
Bo1g007050,35.43727199,33.21985071,116.5429884,107.7220562,121.3172605,34.32856135,82.88794485,-1.754987316,5.92E-06
Bo1g007180,222.4673186,212.7866113,74.79624628,88.27224049,84.11330059,217.6269649,136.6506257,1.397310522,3.34E-07
Bo1g007260,200.8112079,213.6844451,470.5205725,398.7212219,384.9801066,207.2478265,390.9193559,-1.008349201,0.000126735
Bo1g007280,31.49979732,27.83284789,4.34861897,4.488419008,6.470253892,29.66632261,20.77883032,2.530557657,0.000647407
Bo1g007410,157.4989866,84.39637748,420.9463163,421.1633169,549.9715808,120.947682,145.3839462,-1.985904882,2.25E-12
Bo1g007460,147.6552999,140.0620733,414.8582497,338.1275653,375.2747257,143.8586866,420.6442279,-1.390485272,3.11E-09
Bo1g007540,47.24969598,17.05884226,81.75403663,83.78382148,118.0821335,32.15426912,40.75259148,-1.66552864,0.000569736
Bo1g007650,147.6552999,176.8732592,44.35591349,26.93051405,38.82152335,162.2642796,505.7779275,2.165268586,5.39E-15
Bo1g007730,94.49939196,117.6162282,50.44398005,59.84558677,42.86543203,106.0578101,64.65190615,1.065259536,0.010191704
Bo1g007840,192.9362586,189.4429324,15.65502829,30.67086322,29.11614251,191.1895955,120.0846939,2.917266166,3.78E-16
Bo1g007950,181.1238346,179.5667606,73.92652249,74.05891363,68.7464476,180.3452976,187.78221,1.319315707,1.16E-05
Bo1g008020,161.4364613,153.5295803,54.79259902,55.35716776,47.71812245,157.4830208,80.17901467,1.578592137,1.05E-06
Bo1g008040,45.28095865,29.6285155,87.84210319,98.74521817,96.24502664,37.45473707,111.394286,-1.389946129,0.000418709
Bo1g008050,64.96833198,45.78952395,120.0218836,86.02803098,128.5962961,55.37892796,88.67929712,-1.043169807,0.010920257
Bo1g008180,39.37474665,25.13934648,4.34861897,9.72490785,14.55807126,32.25704657,58.82114489,1.707114107,0.005847909
Bo1g008220,64.96833198,80.80504226,29.57060899,35.90735206,28.30736078,72.88668712,59.14283249,1.234793916,0.00388784
Bo1g008260,0,0,74.79624628,37.40349173,36.39517814,0,5.266722847,-7.659557571,1.23E-05
Bo1g008300,39.37474665,38.60685353,120.0218836,83.78382148,78.45182844,38.99080009,94.43458879,-1.27100249,0.002042847
Bo1g008330,74.81201864,63.74620001,29.57060899,37.40349173,29.11614251,69.27910932,44.83028456,1.099374028,0.02012626
Bo1g008360,68.90580664,115.8205606,38.26784693,32.16700289,44.48299551,92.36318361,147.005788,1.299503093,0.002648994
Bo1g008490,141.7490879,205.6039409,33.91922796,63.58593594,54.18837634,173.6765144,104.2771457,1.789557596,4.01E-07
Bo1g008580,9.843686663,8.080504226,0,2.244209504,1.617563473,8.962095445,11.97342302,2.740551396,0.042954732
Bo1g008630,3.937474665,1.795667606,18.26419967,20.94595537,26.6897973,2.866571136,16.24339844,-3.105582242,0.004373167
Bo1g008640,92.53065463,89.78338029,216.5612247,188.5135983,202.1954341,91.15701746,109.5027415,-1.153188026,0.000155343
Bo1g008710,35.43727199,60.1548648,268.7446523,278.2819785,255.5750287,47.79606839,0.675422265,-2.425450292,2.90E-13
Bo1g008740,354.3727199,501.8890958,166.9869684,204.9711347,184.4022359,428.1309079,120.8596402,1.215787346,4.74E-06
Bo1g008760,15.74989866,30.5263493,230.4768054,320.1738892,304.1019329,23.13812398,14.53011058,-3.524535424,7.17E-21
Bo1g008770,1045.399524,950.8059973,394.8546024,436.8727834,418.1401578,998.1027605,115.8583738,1.258222532,5.56E-10
Bo1g008790,850.4945277,782.0132424,223.519015,322.4180987,292.7789886,816.253885,0.996989054,1.543078752,1.50E-10
Bo1g008800,253.9671159,269.3501409,131.3282929,106.9739864,123.7436057,261.6586284,0.498494527,1.119882858,0.000247415
Bo1g009960,21.65611066,24.24151268,0,1.496139669,0,22.94881167,4.631693866,5.439853934,0.00028358
Bo1g009970,98.43686663,135.5729042,0,2.244209504,2.426345209,117.0048854,1.174037606,6.199030443,6.49E-15
Bo1g009980,78.7494933,49.38085916,20.87337105,10.47297768,12.13172605,64.06517623,0.321687604,2.134219628,0.001011628
Bo1g010020,72.84328131,96.06821691,204.3850916,179.5367603,179.5495455,84.45574911,132.8166213,-1.124511688,0.000164463
Bo1g010040,1.968737333,5.387002818,28.7008852,18.70174587,24.26345209,3.677870075,17.71506037,-2.530546883,0.007569346
Bo1g010050,80.71823064,56.56352958,256.5685192,242.3746264,242.6345209,68.64088011,74.39744951,-1.874129495,2.24E-06
Bo1g010090,47.24969598,49.38085916,114.8035408,104.7297768,104.332844,48.31527757,60.96036612,-1.154054137,0.002012977
Bo1g010200,43.31222132,57.46136339,115.6732646,112.958545,105.1416257,50.38679235,89.44940189,-1.110647777,0.002892335
Bo1g010430,0,1.795667606,10.43668553,12.71718719,17.7931982,0.897833803,8.041214689,-3.553805754,0.033566285
Bo1g010620,964.681293,455.2017381,2463.057784,2158.181473,3041.828111,709.9415155,1106.18673,-1.848494249,0.043362549
Bo1g010630,55.12464531,79.00937466,276.5721665,205.7192045,203.8129976,67.06700999,132.1479657,-1.730007134,1.12E-08
Bo1g010660,64.96833198,61.9505324,23.48254244,29.17472355,29.11614251,63.45943219,79.72840506,1.212052866,0.004249643
Bo1g010860,19.68737333,19.75234366,40.00729452,67.32628512,80.06939191,19.7198585,43.01117146,-1.66524045,0.002827449
Bo1g010880,11.812424,13.46750704,0,0,0,12.63996552,2.99120879,6.417205267,0.000513262
Bo1g010890,27.56232266,15.26317465,80.88431284,56.1052376,67.12888413,21.41274865,67.2319321,-1.754455051,0.000321785
Bo1g010940,3.937474665,9.876171832,0,0,0,6.906823249,0.675422265,5.569340579,0.025423212
Bo1g010990,55.12464531,67.33753522,211.3428819,172.056062,167.4178194,61.23109027,166.7321408,-1.559070686,2.62E-07
Bo1g011050,1.968737333,0.897833803,59.14121799,76.30312313,71.17279281,1.433285568,0,-5.784588612,4.01E-06
Bo1g011130,0,0,1.739447588,8.228768181,7.279035628,0,18.38189478,-4.568279545,0.026165723
Bo1g011140,3.937474665,2.693501409,44.35591349,23.19016487,20.21954341,3.315488037,1.173916791,-3.207436518,0.003682403
Bo1g011280,198.8424706,228.0497859,50.44398005,41.1438409,46.90934072,213.4461283,187.6175212,2.219120923,6.35E-16
Bo1g011520,41.34348398,17.05884226,80.88431284,62.08979627,100.2889353,29.20116312,53.36938082,-1.564651082,0.003180263
Bo1g011710,0,2.693501409,17.39447588,7.480698346,15.36685299,1.346750704,7.301335867,-2.95696225,0.042774523
Bo1g011730,165.3739359,149.0404113,88.71182698,72.56277396,66.32010239,157.2071736,131.4888735,1.046580669,0.000660405
Bo1g011820,45.28095865,53.87002818,2.609171382,10.47297768,8.896599101,49.57549341,15.17348579,2.749443788,3.10E-05
Bo1g011930,15.74989866,14.36534085,114.8035408,92.76065949,124.5523874,15.05761975,75.8525487,-2.893973626,2.98E-10
Bo1g011960,5.906211998,16.16100845,31.31005658,38.8996314,31.54248772,11.03361023,19.37102087,-1.496652853,0.037595641
Bo1g011970,157.4989866,187.6472648,41.74674211,77.7992628,47.71812245,172.5731257,137.2369063,1.631709565,2.11E-06
Bo1g012030,0,0,15.65502829,20.19788553,21.02832515,0,6.014947896,-6.277666467,0.00124524
Bo1g012070,1045.399524,1105.233411,308.7519468,424.9036661,382.5537613,1075.316468,572.872075,1.530971465,4.89E-11
Bo1g012080,1.968737333,0,15.65502829,35.15928223,46.10055898,0.984368666,8.137476676,-5.598405698,0.001900047
Bo1g013140,61.03085731,54.76786198,163.5080733,123.4315227,151.2421847,57.89935964,57.30883915,-1.343989819,0.00057786
Bo1g014310,53.15590798,45.78952395,6.957790352,2.244209504,1.617563473,49.47271596,12.50456867,3.79678227,1.35E-05
Bo1g014350,45.28095865,38.60685353,78.27514145,83.03575164,97.86259011,41.94390609,25.13635906,-1.059611498,0.019980327
Bo1g014450,80.71823064,148.1425775,12.17613312,13.46525702,26.6897973,114.4304041,56.82668352,2.735549796,1.84E-09
Bo1g014770,0,0,44.35591349,40.39577107,49.33568592,0,14.70703832,-7.513383957,1.21E-05
Bo1g014780,232.3110052,193.0342676,126.9796739,85.27996115,85.73086407,212.6726364,55.80551038,1.09397305,0.00188414
Bo1g014830,31.49979732,53.87002818,0.869723794,0.748069835,0,42.68491275,0,6.327052865,6.92E-06
Bo1g014840,1.968737333,0,6.957790352,11.22104752,17.7931982,0.984368666,3.698919741,-4.152290388,0.038726873
Bo1g014850,23.62484799,17.95667606,0,0,0,20.79076202,0.426175001,7.120793917,5.89E-05
Bo1g014860,27.56232266,30.5263493,6.957790352,8.228768181,11.32294431,29.04433598,22.49078033,1.721856519,0.020965894
Bo1g014990,1.968737333,0,66.09900834,50.86874875,54.99715808,0.984368666,27.28320163,-6.465721368,3.45E-05
Bo1g015010,19.68737333,7.182670423,146.1135974,87.52417065,62.27619371,13.43502187,96.96721308,-3.040486907,2.44E-08
Bo1g015020,1.968737333,0,7.827514145,14.21332686,6.470253892,0.984368666,13.64619678,-3.84720476,0.043601819
Bo1g016140,41.34348398,33.21985071,66.96873213,115.2027545,91.39233622,37.28166735,48.49667399,-1.317622793,0.003354454
Bo1g016210,242.1546919,229.8454536,103.4971315,121.1873132,115.6557883,236.0000727,293.7431514,1.052041351,1.68E-05
Bo1g016230,112.218028,108.6378902,7.827514145,14.96139669,10.51416257,110.4279591,45.19078597,3.300011611,4.88E-14
