Supplementary Table 4: Kale vs Cabbage DEGs,,,,,,,,,
Gene,Kale_1,Kale_2,Kale_3,Cabbage_1,Cabbage_2,Kale_Mean,Cabbage_Mean,KvC_log2FC,KvC_padj
Bo1g020200,29.90967161,38.60251244,40.91280011,9.843686663,7.182670423,46.5892264,8.513178543,2.149493552,0.001122431
Bo1g020220,125.6206208,130.2834795,153.4230004,62.99959464,63.74620001,102.8811804,63.37289733,1.100222721,0.001445061
Bo1g020270,2540.078861,1496.81242,2604.355432,754.0263984,679.6601888,1350.942561,716.8432936,1.628550376,7.47E-12
Bo1g020320,72.53095365,99.40146953,76.71150021,13.78116133,8.978338029,48.63889593,11.37974968,2.947726569,1.97E-08
Bo1g021430,39.63031488,48.25314055,53.69805014,1.968737333,0,13.62266093,0.984368666,6.174185141,0.000120145
Bo1g021460,196.6560908,235.4753259,245.4768007,488.2468585,432.755893,261.2564848,460.5013757,-1.028197975,5.69E-06
Bo1g021700,148.8006163,183.3619341,122.7384003,1.968737333,3.591335212,0.748069835,2.780036272,5.639181766,1.32E-12
Bo1g021770,7.477417902,8.685565299,6.392625017,0,0,1.058215067,0,4.945718587,0.031990157
Bo1g021960,67.29676112,56.93870585,54.97657515,21.65611066,17.05884226,32.52825727,19.35747646,1.664494797,0.002023011
Bo1g021970,16.45031938,12.54581654,29.40607508,0,0,0.289907931,0,6.303556816,0.001376098
Bo1g022110,208.6199595,176.6064944,159.8156254,47.24969598,56.56352958,237.0602484,51.90661278,1.790024559,2.27E-08
Bo1g022120,53.8374089,44.39288931,56.25510015,15.74989866,27.83284789,43.46970472,21.79137328,1.167106699,0.032155492
Bo1g022260,8.972901483,11.58075373,19.17787505,0,0.897833803,0.579815863,0.448916901,4.381053464,0.033351286
Bo1g022290,35.14386414,62.72908272,79.26855021,21.65611066,23.34367888,27.56212953,22.49989477,1.367415648,0.019261867
Bo1g022380,17.94580297,9.65062811,7.671150021,84.6557053,99.65955213,0.997426446,92.15762871,-2.931901404,7.27E-07
Bo1g022530,177.9625461,239.3355771,305.5674758,120.0929773,65.54186761,190.9401305,92.81742245,1.414481707,4.51E-05
Bo1g022610,15.70257759,39.56757525,35.7987001,0,4.489169015,21.96680422,2.244584507,3.376904284,0.000834431
Bo1g023780,51.59418353,23.16150746,42.19132511,1.968737333,5.387002818,3.215196519,3.677870075,3.248373125,0.000489451
Bo1g024110,15.70257759,18.33619341,19.17787505,1.968737333,0.897833803,12.55048741,1.433285568,3.808926396,0.008119282
Bo1g024230,22.43225371,38.60251244,43.46985012,57.09338264,88.88554649,36.10290401,72.98946457,-1.111429167,0.034408163
Bo1g024240,8.972901483,46.32301493,42.19132511,9.843686663,8.978338029,41.04312935,9.411012346,1.77899279,0.030821038
Bo1g024350,15.70257759,10.61569092,29.40607508,0,0,0.289907931,0,6.234815917,0.001776049
Bo1g024420,73.27869544,64.65920834,71.59740019,33.46853465,26.03718028,95.22245723,29.75285747,1.269510325,0.002824583
